Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Almond cardamom cake (Badam elaichi cake),,,356.35,7.18,21.36,,2.35,34.53,Indian Dishes,18.06,155.37,81.29,1.29,0.37,10.86
Tutti frutti cake,,,347.72,4.49,12.68,,0.85,52.94,Indian Dishes,28.08,106.36,61.41,0.62,1.9,76.45
Ham and Bean soup,,,96.04,10.61,4.15,,0.54,4.18,Indian Dishes,1.43,378.14,20.52,0.88,22.31,103.7
Whey soup,,,68.91,3.45,3.34,,0.84,6.26,Indian Dishes,5.87,87.08,164.92,0.55,2.55,33.72
Bottle gourd soup (Ghiya/Lauki soup),,,23.05,0.45,1.79,,0.96,1.16,Indian Dishes,0.39,53.81,15.14,0.26,6.0,52.73
Baked potato soup,,,147.05,5.73,11.21,,0.3,5.85,Indian Dishes,3.44,268.69,106.56,0.27,18.93,42.67
Pumpkin soup,,,40.05,0.47,3.2,,1.19,2.08,Indian Dishes,1.47,45.5,12.17,0.19,11.5,35.73
Sweet corn soup,,,32.25,0.99,1.63,,0.31,3.56,Indian Dishes,0.9,22.35,3.72,0.41,10.33,50.13
Paneer soup,,,47.85,3.22,2.8,,0.28,2.42,Indian Dishes,1.98,68.03,82.76,0.3,7.59,106.5
Curried Cauliflower soup,,,37.32,6.72,9.77,,2.34,3.12,Indian Dishes,1.79,7311.44,37.25,2.12,51.86,53.08
Millet soup,,,55.99,11.26,12.57,,2.82,8.22,Indian Dishes,1.45,10918.83,65.21,2.74,4.23,26.39
Lemon coriander soup,,,108.06,2.27,6.26,,6.77,10.32,Indian Dishes,2.2,219.17,102.57,3.47,8.6,12.47
Garlic soup,,,194.86,2.38,17.62,,1.66,6.99,Indian Dishes,2.39,179.26,60.55,0.73,11.12,21.85
Dal makhani,,,74.04,3.32,3.06,,2.27,7.96,Indian Dishes,0.8,41.85,20.62,1.23,9.19,75.16
Dalma,,,118.93,4.91,4.58,,2.16,15.04,Indian Dishes,3.1,49.35,54.28,2.1,36.63,137.41
Split bengal gram dal (Channa dal),,,99.67,4.15,4.62,,3.72,9.99,Indian Dishes,0.98,46.4,21.99,1.92,13.38,103.45
Horsegram dal (Kulthi dal) ,,,55.65,2.91,1.13,,1.52,8.21,Indian Dishes,0.72,63.63,38.22,1.3,13.98,86.1
Panchmel dal,,,111.22,4.63,5.36,,3.2,10.71,Indian Dishes,0.75,79.46,23.05,1.42,8.49,79.58
Dal dhokli,,,68.74,2.96,2.47,,1.86,8.55,Indian Dishes,1.12,37.53,14.54,0.79,2.77,45.31
Gujarati handvo ,,,207.09,8.24,4.8,,4.95,31.86,Indian Dishes,2.51,308.55,68.21,2.03,31.39,374.11
Sev (Omapodi/Karapusa),,,609.14,5.12,60.08,,2.35,12.87,Indian Dishes,0.53,53.19,13.95,0.72,0.0,59.29
Papdi,,,708.96,1.83,72.11,,0.56,12.89,Indian Dishes,0.31,28.91,6.06,0.44,0.04,5.01
Jowar dosa,,,294.35,8.5,10.28,,5.56,40.53,Indian Dishes,0.59,97.25,19.46,2.03,0.0,9.63
Bread roll,,,435.46,2.85,40.25,,1.45,16.12,Indian Dishes,0.94,139.34,44.83,0.71,6.79,15.69
Soya seekh kebab,,,115.05,5.4,5.88,,2.24,10.0,Indian Dishes,0.51,92.25,15.67,1.26,8.56,14.38
Classic seasoned black beans,,,28.78,8.01,8.28,,3.51,7.66,Indian Dishes,0.44,7989.07,40.11,1.9,8.54,4.61
Maa chaane ki dal,,,344.67,19.8,9.5,,13.45,43.11,Indian Dishes,1.05,43.31,68.65,5.97,1.43,102.41
Garlic chickpea soup (Lahasun aur chane ka shoraba),,,89.53,4.45,2.01,,2.84,13.92,Indian Dishes,2.65,79.73,13.93,0.96,13.24,380.59
White sauce (thin),,,115.17,3.31,8.41,,0.07,6.58,Indian Dishes,4.58,23.91,110.2,0.19,,
White sauce (medium),,,151.27,3.36,11.76,,0.14,7.98,Indian Dishes,4.32,22.59,103.53,0.22,,
White sauce (thick),,,209.69,3.43,17.19,,0.24,10.24,Indian Dishes,3.9,20.45,92.74,0.27,,
Cheese sauce,,,194.76,7.68,15.12,,0.12,7.08,Indian Dishes,4.53,317.38,255.14,0.31,,
Egg sauce,,,146.85,5.97,11.08,,0.12,5.88,Indian Dishes,3.19,51.54,89.49,0.65,,
Mushroom sauce,,,137.56,3.39,10.51,,0.47,7.31,Indian Dishes,3.86,20.94,94.1,0.22,,
Mustard sauce,,,158.58,3.98,12.17,,0.13,8.29,Indian Dishes,4.22,22.16,109.03,0.44,,
Brown sauce,,,109.18,11.92,23.67,,1.69,5.38,Indian Dishes,0.13,14174.59,40.44,2.46,,
Classic italian pasta,,,42.12,0.57,2.45,,1.36,4.4,Indian Dishes,2.94,49.04,19.55,0.41,,
Pasta spinach sauce,,,85.46,1.76,7.9,,0.86,1.76,Indian Dishes,1.04,115.79,58.57,1.23,,
Pasta cheese sauce,,,149.26,4.33,10.84,,0.14,9.0,Indian Dishes,4.22,255.95,152.68,0.25,,
Mayonnaise,,,774.86,1.86,84.52,,0.11,1.65,Indian Dishes,1.44,272.89,15.36,0.51,,
Low calorie quick mayonnaise,,,242.89,1.41,24.35,,0.06,4.71,Indian Dishes,0.83,165.94,6.47,0.25,,
Thousand island dressing,,,407.87,1.37,42.87,,0.46,4.49,Indian Dishes,3.1,946.1,9.11,0.45,,
Curd dip,,,79.95,5.04,3.36,,0.1,7.95,Indian Dishes,7.12,301.07,167.17,0.25,,
Short crust pastry,,,422.1,6.11,23.98,,1.58,44.72,Indian Dishes,3.18,97.2,16.9,1.02,,
Choux pastry,,,222.37,5.55,14.96,,0.56,16.2,Indian Dishes,1.5,132.28,19.43,0.83,,
Flaky pastry,,,443.94,4.69,31.99,,1.25,33.61,Indian Dishes,0.81,178.52,9.28,0.83,,
Sponge cake ,,,253.77,9.18,4.74,,0.69,44.63,Indian Dishes,26.33,64.61,30.22,1.47,,
Glace icing,,,323.51,0.01,0.01,,0.0,86.31,Indian Dishes,85.35,9.88,1.95,0.41,,
Royal icing,,,332.58,1.74,0.02,,0.0,86.53,Indian Dishes,85.57,36.5,2.87,0.42,,
American frosting,,,257.57,1.05,0.01,,0.0,67.48,Indian Dishes,67.46,19.33,7.05,0.14,,
Gum icing,,,223.07,5.94,0.0,,0.0,53.19,Indian Dishes,52.63,29.32,18.62,0.4,,
Channa murmura premix,,,339.09,10.59,3.28,,8.21,72.59,Indian Dishes,1.52,206.28,21.36,4.58,,
Cracked wheat and green gram dal premix (Dalia moong dal premix),,,362.16,15.89,5.11,,11.66,64.75,Indian Dishes,0.63,3.25,49.03,4.28,,
Rice flakes and roasted channa ,,,333.4,10.57,2.94,,8.84,71.94,Indian Dishes,1.31,205.51,17.23,4.51,,
Spinach soup in milk ,,,56.72,2.89,3.2,,0.79,3.98,Indian Dishes,3.34,31.16,106.1,1.08,,
Vegetable soup,,,55.21,2.22,1.55,,3.01,7.6,Indian Dishes,1.61,170.68,18.1,0.63,,
Mashed banana with milk,,,95.43,2.51,2.99,,0.71,14.62,Indian Dishes,11.35,16.99,78.64,0.23,,
Poha with curd (Poha aur dahi),,,173.32,6.01,4.65,,1.09,26.72,Indian Dishes,5.46,325.07,140.9,1.61,,
Potato with curd,,,73.18,3.19,1.33,,1.02,12.01,Indian Dishes,3.3,190.9,85.41,0.38,,
Sweet wheat porridge (Sweet dalia),,,140.66,5.11,2.79,,2.37,23.77,Indian Dishes,12.23,24.63,99.18,1.98,,
Vegetable khichdi/khichri,,,143.17,5.61,4.53,,2.45,19.57,Indian Dishes,3.71,193.55,100.54,1.09,,
Moong dal mixture,,,158.84,4.62,1.0,,1.9,33.93,Indian Dishes,24.68,29.6,70.53,1.25,,
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),,,167.45,7.56,5.52,,3.74,22.35,Indian Dishes,3.79,224.95,123.04,2.17,,
Stewed apple,,,91.93,0.17,0.37,,1.48,22.49,Indian Dishes,20.45,1.53,9.25,0.18,,
Lemon squash (Nimbu ka squash),,,184.56,0.15,0.06,,0.0,48.88,Indian Dishes,48.88,15.01,9.85,0.18,,
Orange squash (Santre ka squash),,,193.26,0.22,0.04,,0.4,50.88,Indian Dishes,50.56,14.85,10.62,0.34,,
Lichi squash,,,198.33,0.3,0.08,,0.41,51.96,Indian Dishes,51.31,14.56,6.39,0.34,,
Mango squash (Aam ka squash),,,194.66,0.17,0.17,,0.58,50.96,Indian Dishes,50.84,14.81,9.47,0.25,,
Pineapple squash (Ananas ka squash),,,195.02,0.16,0.05,,1.06,51.34,Indian Dishes,51.08,14.84,7.96,0.18,,
Lemon and ginger squash (Nimbu aur adrak ka squash),,,170.34,0.54,0.21,,1.07,44.06,Indian Dishes,42.53,16.19,11.18,0.52,,
Apple jam (Seb ka murabba),,,188.79,0.14,0.32,,1.29,48.56,Indian Dishes,46.76,2.71,10.84,0.21,,
Plum jam (Aloo bukhara jam),,,178.89,0.31,0.19,,1.0,46.2,Indian Dishes,45.25,2.67,7.5,0.2,,
Pineapple jam ,,,149.18,0.32,0.15,,2.2,38.27,Indian Dishes,37.44,2.45,10.47,0.24,,
Guava jelly (Amrood ki jelly),,,115.74,1.11,0.25,,6.61,28.18,Indian Dishes,27.38,3.36,16.55,0.29,,
Orange marmalade (Santray ka murabba),,,104.17,0.66,0.13,,1.97,25.94,Indian Dishes,25.09,2.31,17.59,0.63,,
Carrot murabba (Gajar ka murabba),,,175.24,0.32,0.16,,1.39,45.6,Indian Dishes,44.83,19.53,15.86,0.28,,
Gooseberry marmalade (Amla murabba),,,123.16,0.14,0.03,,0.0,32.34,Indian Dishes,28.61,216.89,16.4,0.38,,
Ginger candy (Adrak ki candy),,,195.71,0.69,0.27,,1.67,50.38,Indian Dishes,47.99,5.4,10.43,0.68,,
Mango pickle (Aam ka achaar),,,192.12,1.6,17.89,,3.68,8.11,Indian Dishes,1.79,3429.94,48.97,1.44,,
Mixed vegetable pickle (Sabziyoon ka achaar),,,211.2,1.9,19.68,,2.76,7.48,Indian Dishes,2.77,2488.32,42.81,2.12,,
Sweet lemon pickle (Neembu ka meetha achaar),,,69.54,1.22,0.21,,2.13,16.87,Indian Dishes,14.63,6415.9,42.57,1.02,,
Plum chutney (Aloo bukhara ki chutney),,,177.11,0.47,0.29,,1.37,44.95,Indian Dishes,43.9,216.81,12.38,0.34,,
Raw mango chutney (Kachhe aam/Kairi ki chutney),,,193.13,0.51,0.16,,2.17,49.94,Indian Dishes,45.22,480.68,25.92,0.48,,
Tomato sauce,,,34.33,0.81,0.27,,1.79,7.23,Indian Dishes,5.69,174.79,13.0,0.31,,
Tomato puree,,,20.62,0.75,0.25,,1.56,3.68,Indian Dishes,2.32,244.99,8.91,0.22,,
Garam masala,,,254.21,9.89,10.97,,35.56,26.2,Indian Dishes,1.79,58.33,609.77,14.51,,
Chat masala,,,222.58,8.19,9.91,,18.62,23.87,Indian Dishes,0.79,11873.64,519.5,13.27,,
Kashmiri masala,,,389.02,8.26,31.03,,12.12,23.16,Indian Dishes,2.41,3106.14,303.49,14.72,,
Rasam powder (Rasam masala),,,267.96,12.04,11.8,,35.71,25.19,Indian Dishes,1.91,38.78,562.15,14.72,,
Sambar powder (Sambar masala),,,297.46,12.5,15.58,,34.56,23.38,Indian Dishes,1.87,27.66,439.95,12.63,,
Tartare sauce,,,610.93,1.44,66.12,,0.42,2.96,Indian Dishes,2.18,256.95,21.06,0.56,,
Barbeque sauce,,,121.93,0.96,4.51,,0.69,20.46,Indian Dishes,18.88,504.95,28.61,1.15,,
Bread sauce,,,111.04,3.46,7.05,,0.56,8.69,Indian Dishes,4.63,88.84,110.72,0.31,,
Green chilli sauce,,,46.06,1.25,0.27,,1.77,7.36,Indian Dishes,5.36,1037.04,9.89,0.64,,
Home made plain noodles,,,238.78,6.21,3.56,,1.65,44.5,Indian Dishes,1.07,182.07,12.27,1.07,,
Dal moong,,,43.69,2.2,1.62,,1.08,4.92,Indian Dishes,0.13,117.74,7.69,0.52,,
Cumin seeds baghar (Jeera baghar/tadka),,,736.81,3.34,78.77,,6.01,5.22,Indian Dishes,0.49,177.58,177.77,5.09,,
Onion tomato baghar (Pyaaz tamatar ka tadka),,,137.52,1.26,11.98,,2.12,6.17,Indian Dishes,3.51,31.33,20.45,0.63,,
Mustard seeds baghar (Mustard seed tadka),,,552.59,4.73,54.3,,9.74,10.45,Indian Dishes,1.14,8.9,182.93,4.14,,
Hot cherry sauce,,,252.74,0.13,0.07,,0.0,67.95,Indian Dishes,17.65,105.81,24.82,0.45,,
Apple jelly (Seb ki jelly),,,152.13,0.1,0.21,,0.86,39.37,Indian Dishes,38.18,2.14,7.89,0.15,,
Marmalade (Murabba),,,143.76,0.23,0.04,,0.43,37.64,Indian Dishes,37.29,2.16,9.84,0.34,,
Plum squash (Aloo bukhara squash),,,211.17,0.16,0.1,,0.52,55.51,Indian Dishes,55.02,12.71,6.9,0.16,,
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),,,14.07,0.85,0.24,,1.07,2.14,Indian Dishes,1.0,7559.38,20.05,0.55,,
Brinjal pickle (Baingan ka achaar),,,139.01,2.24,12.98,,4.62,4.23,Indian Dishes,1.07,3507.59,37.28,2.16,,
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),,,60.88,1.26,3.24,,2.2,6.55,Indian Dishes,4.31,1281.94,15.18,0.54,,
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),,,91.21,1.98,6.55,,5.08,6.32,Indian Dishes,3.04,2067.33,54.31,2.32,,
Tomato chutney (Tamatar ki chutney),,,176.07,0.97,6.01,,1.49,31.85,Indian Dishes,30.02,823.65,25.34,0.96,,
Tomato ketchup,,,33.07,0.91,0.3,,1.9,6.48,Indian Dishes,4.68,177.97,15.33,0.36,,
Bengal 5 Spice Blend (Panch Phoran),,,289.79,18.26,22.16,,18.4,20.0,Indian Dishes,1.4,51.43,523.0,13.37,,
